Pizza|Focaccia|Cibo italiano
Gelato|Sorbetto|Dolci freddi
Pasta|Riso|Carboidrati
Caffè|Tè|Bevande calde
Cane|Gatto|Animali domestici
Mare|Lago|Acqua
Montagna|Collina|Paesaggi naturali
Roma|Milano|Città italiane
Ferrari|Lamborghini|Auto sportive
Calcio|Basket|Sport con palla
Chitarra|Pianoforte|Strumenti musicali
Birra|Vino|Bevande alcoliche
Natale|Capodanno|Feste invernali
Estate|Primavera|Stagioni
Sole|Luna|Corpi celesti
Aereo|Elicottero|Veicoli volanti
Treno|Metro|Trasporti su rotaie
Bicicletta|Monopattino|Veicoli a due ruote
Mela|Pera|Frutta
Banana|Ananas|Frutta tropicale
Pomodoro|Peperone|Verdure
Pane|Grissini|Prodotti da forno
Formaggio|Mozzarella|Latticini
Prosciutto|Salame|Salumi
Cioccolato|Caramella|Dolciumi
Torta|Biscotto|Dolci da forno
Latte|Yogurt|Latticini
Acqua|Succo|Bevande
Libro|Rivista|Lettura
Film|Serie TV|Intrattenimento video
Musica|Podcast|Audio
Telefono|Tablet|Dispositivi elettronici
Computer|Laptop|Tecnologia
Scarpe|Sandali|Calzature
Jeans|Pantaloni|Abbigliamento
Maglietta|Camicia|Abbigliamento
Giacca|Cappotto|Capispalla
Cappello|Berretto|Accessori per la testa
Occhiali|Lenti a contatto|Vista
Orologio|Bracciale|Accessori da polso
Anello|Collana|Gioielli
Borsa|Zaino|Borse
Portafoglio|Borsellino|Accessori
Ombrello|Impermeabile|Protezione dalla pioggia
Sedia|Poltrona|Mobili per sedersi
Tavolo|Scrivania|Mobili piani
Letto|Divano|Mobili per riposare
Armadio|Cassettiera|Mobili contenitori
Lampada|Candela|Illuminazione
Specchio|Quadro|Decorazioni da parete
Finestra|Porta|Aperture della casa
Muro|Pavimento|Struttura della casa
Giardino|Balcone|Spazi esterni
Albero|Cespuglio|Piante da giardino
Fiore|Pianta|Vegetazione
Erba|Foglia|Parti delle piante
Uccello|Farfalla|Animali che volano
Pesce|Delfino|Animali acquatici
Leone|Tigre|Felini
Elefante|Rinoceronte|Grandi mammiferi
Scimmia|Gorilla|Primati
Serpente|Lucertola|Rettili
Ragno|Formica|Insetti
Ape|Vespa|Insetti volanti
Mosca|Zanzara|Insetti fastidiosi
Coniglio|Criceto|Piccoli animali
Cavallo|Asino|Equini
Mucca|Toro|Bovini
Maiale|Cinghiale|Suini
Pecora|Capra|Animali da fattoria
Pollo|Tacchino|Pollame
Anatra|Oca|Uccelli acquatici
Aquila|Falco|Rapaci
Gufo|Civetta|Uccelli notturni
Pappagallo|Canarino|Uccelli colorati
Pinguino|Foca|Animali polari
Orso|Panda|Grandi animali
Lupo|Volpe|Canidi selvatici
Cervo|Renna|Cervidi
Dinosauro|Drago|Creature gigantesche
Unicorno|Pegaso|Creature mitologiche
Sirena|Tritone|Creature marine magiche
Vampiro|Lupo mannaro|Mostri classici
Fantasma|Zombie|Non morti
Strega|Mago|Personaggi magici
Fata|Elfo|Creature fatate
Re|Regina|Monarchi
Principe|Principessa|Membri della famiglia reale
Cavaliere|Samurai|Guerrieri storici
Pirata|Ninja|Personaggi avventurosi
Astronauta|Alieno|Spazio
Robot|Androide|Macchine intelligenti
Supereroe|Supercattivo|Personaggi dei fumetti
Spiderman|Batman|Supereroi
Superman|Capitan America|Supereroi
Ironman|Thor|Personaggi Marvel
Hulk|Thanos|Personaggi Marvel
Mario|Luigi|Personaggi di videogiochi
Sonic|Pikachu|Personaggi di videogiochi
Minecraft|Fortnite|Videogiochi
PlayStation|Xbox|Console
Netflix|Disney+|Piattaforme streaming
Instagram|TikTok|Social media
WhatsApp|Telegram|App di messaggistica
Google|Facebook|Aziende tech
Amazon|eBay|Negozi online
Apple|Samsung|Marchi tecnologia
McDonald's|Burger King|Fast food
Coca-Cola|Pepsi|Bibite
Nike|Adidas|Marchi sportivi
IKEA|Mondo Convenienza|Negozi di arredamento
Fiat|Volkswagen|Case automobilistiche
Juventus|Inter|Squadre di calcio
Milan|Napoli|Squadre di calcio
Real Madrid|Barcellona|Squadre di calcio
Messi|Ronaldo|Calciatori famosi
Tennis|Ping Pong|Sport con racchetta
Nuoto|Pallanuoto|Sport acquatici
Sci|Snowboard|Sport invernali
Pallavolo|Beach Volley|Sport con la rete
Rugby|Football Americano|Sport con palla ovale
Golf|Bowling|Sport di precisione
Boxe|Karate|Arti marziali
Yoga|Pilates|Attività di benessere
Palestra|Piscina|Luoghi per allenarsi
Stadio|Arena|Luoghi per eventi
Teatro|Cinema|Luoghi di spettacolo
Museo|Galleria|Luoghi culturali
Biblioteca|Libreria|Luoghi con libri
Scuola|Università|Istituti educativi
Ospedale|Clinica|Strutture sanitarie
Farmacia|Erboristeria|Vendita prodotti salute
Banca|Posta|Servizi finanziari
Supermercato|Mercato|Luoghi per comprare cibo
Ristorante|Trattoria|Luoghi dove mangiare
Bar|Pub|Locali per bere
Discoteca|Lounge|Locali notturni
Hotel|B&B|Alloggi
Spiaggia|Piscina|Luoghi per nuotare
Parco|Giardino pubblico|Spazi verdi
Zoo|Acquario|Luoghi con animali
Luna Park|Circo|Intrattenimento
Concerto|Festival|Eventi musicali
Matrimonio|Battesimo|Cerimonie
Compleanno|Anniversario|Ricorrenze personali
Halloween|Carnevale|Feste in maschera
Pasqua|Ferragosto|Feste primaverili/estive
San Valentino|Festa della mamma|Feste dedicate
