Pizza|cheese,slice,italian,oven,tomato
Beach|sea,sand,sun,waves,umbrella
Football|ball,goal,team,stadium,field
Phone|call,mobile,screen,text,number
Dog|bark,leash,bone,paws,loyal
Coffee|cup,café,espresso,morning,caffeine
Christmas|tree,gifts,santa,snow,holiday
School|teacher,desk,students,lesson,homework
Mountain|snow,ski,peak,hike,climb
Rain|umbrella,water,clouds,wet,storm
Kitchen|stove,plates,cook,recipe,pan
Car|drive,wheels,engine,road,steering
Ice cream|cone,cold,summer,flavor,chocolate
Bicycle|pedals,wheels,handlebar,ride,chain
Book|read,pages,story,author,library
Guitar|strings,play,music,rock,chords
Hospital|doctor,sick,nurse,ambulance,patient
Sun|hot,yellow,summer,rays,sky
Moon|night,sky,stars,full,satellite
Birthday|cake,candles,party,gifts,wishes
Pinocchio|nose,lie,puppet,wood,geppetto
Clock|time,hands,hours,wrist,alarm
Train|tracks,station,wagon,journey,rails
Airplane|fly,sky,pilot,airport,wings
Ocean|waves,fish,salt,blue,swim
Snow|white,cold,winter,snowman,ski
Fire|hot,flame,burn,fireplace,smoke
Sandwich|bread,ham,cheese,lunch,slice
Computer|keyboard,screen,mouse,internet,program
Television|remote,screen,channels,shows,couch
Fish|water,swim,gills,sea,fins
Elephant|trunk,big,tusks,africa,ears
Lion|mane,king,savanna,roar,cat
Banana|yellow,monkey,fruit,peel,curved
Apple|red,fruit,tree,pie,newton
Sunset|horizon,orange,evening,sea,sky
Painter|brush,picture,colors,canvas,art
Waiter|restaurant,order,plates,tip,table
Mailman|letters,mail,delivery,box,stamp
Witch|broom,magic,hat,potion,cat
Vampire|blood,teeth,night,coffin,dracula
Ghost|spirit,sheet,scary,house,transparent
Robot|metal,machine,future,intelligence,arms
Astronaut|space,rocket,suit,moon,nasa
Pirate|ship,treasure,patch,sea,parrot
Cowboy|horse,gun,hat,west,sheriff
Superhero|cape,powers,save,costume,fly
Dentist|teeth,drill,mouth,cavity,office
Gardener|flowers,plants,soil,water,lawn
